"","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DHomeW","DHomeL","DAwayW","DAwayL","DPnts","DOppPnts","DMP","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DORB","DTRB","DAST","DSTL","DBLK","DTOV","DPF","SeedDiff","ScoreDiff"
"144",6,15,-9,0.334,30.9,16.93,6,-4,NA,NA,NA,NA,696,204,NA,309,525,0.037,2,27,-0.016,76,139,-0.0269999999999999,123,274,230,133,47,33,105,-15,32
"145",-2,0,-2,0.0449999999999999,-3.34,-3.35,1,-1,NA,NA,NA,NA,-54,-39,NA,13,-125,0.038,-39,-157,0.014,-41,-60,-0.002,-71,-155,44,-32,-14,80,131,-1,-22
"146",0,3,-3,0.091,10.94,4.12,1,-1,NA,NA,NA,NA,159,-108,NA,13,-113,0.035,70,109,0.053,63,29,0.0579999999999999,-82,-106,37,-33,-102,-74,-49,-11,4
"147",5,17,-12,0.433,27.91,14.4,9,-7,NA,NA,NA,NA,718,259,NA,328,515,0.05,23,9,0.04,39,-17,0.0690000000000001,142,390,244,42,35,1,-66,-15,8
"148",0,-2,2,-0.0670000000000001,-4.26,4.51,0,2,NA,NA,NA,NA,-258,5,NA,-160,-208,-0.038,-33,-57,-0.024,95,100,0.035,-15,-101,-41,-13,-29,97,-86,-1,7
"149",3,2,1,-0.012,4.28,10.14,1,-1,NA,NA,NA,NA,165,378,NA,19,280,-0.06,30,106,-0.015,97,106,0.0359999999999999,93,152,-38,34,0,8,85,-9,10
"150",1,2,-1,0.04,15.61,14.81,0,-2,NA,NA,NA,NA,-82,-116,NA,-45,-48,-0.013,58,105,0.038,-50,-23,-0.041,39,74,35,-63,-3,-69,-111,-13,-13
"151",0,3,-3,0.1,5.77,4.02,3,-1,NA,NA,NA,NA,199,111,NA,71,94,0.017,28,18,0.038,29,17,0.022,11,152,136,-54,20,-7,-47,-5,13
"152",4,-1,5,-0.127,12.46,8.36,-5,3,NA,NA,NA,NA,443,282,NA,119,249,0.005,56,95,0.043,149,239,-0.014,198,288,70,43,-9,124,99,-7,23
"153",2,7,-5,0.183,23.41,16.87,8,-4,NA,NA,NA,NA,407,258,NA,193,61,0.093,-74,-206,-0.00599999999999995,95,167,-0.0249999999999999,37,130,67,33,32,146,-75,-13,34
