"","X","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","SeedDiff","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","TOVxSD","ScD","winner","GamesSq","WinsxSOS","SeedDiffSq"
"414",414,2,1,1,-0.00700000000000001,1.98,2.85,2,0,228,232,133,241,0.014,-57,-128,-0.028,19,-17,0.0449999999999999,16,71,157,21,78,-1,5.643,-7581,2527,2128,9443,20881,2793,10374,-133,-2.56499999999999,-4047,-912,-8949,57,-272,-1207,-2669,-357,-1326,17,1136,2512,336,1248,-16,11147,1491,5538,-71,3297,12246,-157,1638,-21,-157,19,1,4,2.85,1
"415",415,0,-5,5,-0.156,7.72,8.46,-4,6,245,291,115,277,-0.00700000000000001,-17,30,-0.054,32,50,-0.004,86,38,-13,139,-46,-1,65.3112,-1955,3680,9890,4370,-1495,15985,-5290,-115,0.068,-646,-1462,221,17,4300,1900,-650,6950,-2300,-50,3268,-1118,11954,-3956,-86,-494,5282,-1748,-38,-1807,598,13,-6394,-139,13,-4,0,0,-42.3,1
"416",416,4,4,0,0.028,6.86,7.67,-1,3,294,336,91,195,-0.002,-4,32,-0.028,116,235,-0.071,142,125,34,94,53,-9,52.6162,-364,10556,12922,11375,3094,8554,4823,-819,0.284,-500,-568,-136,36,33370,29375,7990,22090,12455,-2115,17750,4828,13348,7526,-1278,4250,11750,6625,-1125,3196,1802,-306,4982,-846,-306,12,1,16,30.68,81
"417",417,2,9,-7,0.226,21.66,10.82,1,-1,587,218,245,428,0.025,-35,-75,-0.013,132,192,-0.005,411,138,16,217,38,-15,234.3612,-8575,32340,100695,33810,3920,53165,9310,-3675,0.175,-4830,-14385,-560,525,78912,26496,3072,41664,7296,-2880,56718,6576,89187,15618,-6165,2208,29946,5244,-2070,3472,608,-240,8246,-3255,-240,13,1,4,97.38,225
"418",418,3,12,-9,0.283,27.74,15.46,-1,-1,828,383,192,215,0.049,131,261,0.067,313,324,0.114,-30,155,88,80,-65,-15,428.8604,25152,60096,-5760,29760,16896,15360,-12480,-2880,14.934,20305,-3930,11528,-1965,-9720,50220,28512,25920,-21060,-4860,-4650,-2640,-2400,1950,450,13640,12400,-10075,-2325,7040,-5720,-1320,-5200,-1200,-1320,16,1,9,185.52,225
"419",419,8,9,-1,0.072,15.33,7.67,-2,3,769,445,264,360,0.047,22,10,0.025,219,262,0.041,353,214,33,164,146,-11,117.5811,5808,57816,93192,56496,8712,43296,38544,-2904,0.902,4708,7766,726,-242,92486,56068,8646,42968,38252,-2882,75542,11649,57892,51538,-3883,7062,35096,31244,-2354,5412,4818,-363,23944,-1804,-363,26,1,64,69.03,121
"420",420,-3,2,-5,0.142,0.73,-0.9,1,-3,110,51,38,-53,0.034,-34,-128,0.018,68,154,-0.0529999999999999,-48,5,30,80,6,-1,-0.657,-1292,2584,-1824,190,1140,3040,228,-38,1.802,-170,1632,-1020,34,-7392,770,4620,12320,924,-154,-240,-1440,-3840,-288,48,150,400,30,-5,2400,180,-30,480,-80,-30,3,1,9,-1.8,1
"421",421,0,0,0,0,2.43,1.79,-1,-1,12,37,33,20,0.014,4,-14,0.014,-58,-70,-0.014,-21,75,20,-5,-20,-3,4.3497,132,-1914,-693,2475,660,-165,-660,-99,-0.056,300,-84,80,-12,1470,-5250,-1400,350,1400,210,-1575,-420,105,420,63,1500,-375,-1500,-225,-100,-400,-60,100,15,-60,5,1,0,0,9
"422",422,1,8,-7,0.223,2.21,3.03,6,-8,353,372,119,194,0.015,-36,-88,-0.00700000000000001,151,140,0.0580000000000001,118,-43,35,-58,24,-11,6.6963,-4284,17969,14042,-5117,4165,-6902,2856,-1309,-2.088,1548,-4248,-1260,396,16520,-6020,4900,-8120,3360,-1540,-5074,4130,-6844,2832,-1298,-1505,2494,-1032,473,-2030,840,-385,-1392,638,-385,4,1,1,24.24,121
"423",423,2,2,0,0.014,7,3.8,-1,1,321,242,165,440,-0.025,-35,-16,-0.043,26,115,-0.102,416,55,-46,12,71,-9,26.6,-5775,4290,68640,9075,-7590,1980,11715,-1485,3.57,-1925,-14560,1610,315,47840,6325,-5290,1380,8165,-1035,22880,-19136,4992,29536,-3744,-2530,660,3905,-495,-552,-3266,414,852,-108,414,9,1,4,7.6,81
"424",424,-2,-5,3,-0.114,2.29,3.71,-4,4,-225,-139,-42,-93,0.001,56,143,-0.001,-197,-244,-0.038,-123,34,-55,-29,-52,-5,8.4959,-2352,8274,5166,-1428,2310,1218,2184,210,-2.128,1904,-6888,-3080,-280,30012,-8296,13420,7076,12688,1220,-4182,6765,3567,6396,615,-1870,-986,-1768,-170,1595,2860,275,1508,145,275,4,1,4,-18.55,25
"425",425,0,-1,1,-0.03,10.17,8.18,-4,4,-319,-362,-133,-170,-0.03,-35,-46,-0.032,-18,-73,0.0439999999999999,61,-87,-87,54,-29,-11,83.1906,4655,2394,-8113,11571,11571,-7182,3857,1463,-1.54,3045,-2135,3045,385,-4453,6351,6351,-3942,2117,803,-5307,-5307,3294,-1769,-671,7569,-4698,2523,957,-4698,2523,957,-1566,-594,957,-1,0,0,-8.18,121
"426",426,0,3,-3,0.091,8.24,2.22,2,-4,121,-124,64,-10,0.035,20,-12,0.044,-27,5,-0.0459999999999999,64,56,29,34,19,-9,18.2928,1280,-1728,4096,3584,1856,2176,1216,-576,-0.919999999999998,1120,1280,580,-180,320,280,145,170,95,-45,3584,1856,2176,1216,-576,1624,1904,1064,-504,986,551,-261,646,-306,-261,-4,0,0,6.66,81
"427",427,4,-2,6,-0.145,3.48,7.31,-3,5,171,281,81,204,-0.00600000000000001,43,111,0.00699999999999995,-34,-79,0.029,294,13,-131,-5,69,-1,25.4388,3483,-2754,23814,1053,-10611,-405,5589,-81,1.247,559,12642,-5633,-43,-23226,-1027,10349,395,-5451,79,3822,-38514,-1470,20286,-294,-1703,-65,897,-13,655,-9039,131,-345,5,131,5,1,16,-14.62,1
"428",428,5,4,1,0.00800000000000001,10.68,9.55,1,-3,158,61,91,257,-0.015,-49,-34,-0.078,25,38,-0.001,307,66,59,108,87,-9,101.994,-4459,2275,27937,6006,5369,9828,7917,-819,0.049,-3234,-15043,-2891,441,11666,2508,2242,4104,3306,-342,20262,18113,33156,26709,-2763,3894,7128,5742,-594,6372,5133,-531,9396,-972,-531,16,1,25,38.2,81
"429",429,0,2,-2,0.0640000000000001,0.540000000000001,0.0800000000000001,0,0,147,56,72,161,-0.001,89,158,0.052,-86,-140,0.024,-23,103,38,-58,37,-3,0.0432000000000001,6408,-6192,-1656,7416,2736,-4176,2664,-216,2.136,9167,-2047,3382,-267,3220,-14420,-5320,8120,-5180,420,-2369,-874,1334,-851,69,3914,-5974,3811,-309,-2204,1406,-114,-2146,174,-114,-5,0,0,0.16,9
"430",430,4,12,-8,0.256,15.58,6.59,0,-2,489,174,168,408,-0.00900000000000001,59,223,-0.035,94,167,-0.0269999999999999,313,38,141,95,103,-15,102.6722,9912,15792,52584,6384,23688,15960,17304,-2520,-1.59299999999999,2242,18467,8319,-885,52271,6346,23547,15865,17201,-2505,11894,44133,29735,32239,-4695,5358,3610,3914,-570,13395,14523,-2115,9785,-1425,-2115,16,1,16,79.08,225
"431",431,-1,-5,4,-0.124,0.130000000000001,4.5,-7,5,91,232,-1,16,-0.004,-2,-39,0.022,95,35,0.105,-9,60,-35,-22,29,-5,0.585000000000005,2,-95,9,-60,35,22,-29,5,-0.21,-120,18,70,10,-315,2100,-1225,-770,1015,-175,-540,315,198,-261,45,-2100,-1320,1740,-300,770,-1015,175,-638,110,175,-10,0,1,-22.5,25
"432",432,2,3,-1,0.0439999999999999,5.3,3.22,3,-1,-48,-99,-10,120,-0.036,-49,-93,-0.026,21,29,0,172,-51,-50,65,-5,-7,17.066,490,-210,-1720,510,500,-650,50,70,0,2499,-8428,2450,343,4988,-1479,-1450,1885,-145,-203,-8772,-8600,11180,-860,-1204,2550,-3315,255,357,-3250,250,350,-325,-455,350,-8,0,4,9.66,49
"433",433,0,-1,1,-0.032,14.32,12.84,-5,1,257,227,55,14,0.027,-15,-79,0.022,162,185,0.0569999999999999,96,67,-8,-20,125,-11,183.8688,-825,8910,5280,3685,-440,-1100,6875,-605,-0.854999999999998,-1005,-1440,120,165,17760,12395,-1480,-3700,23125,-2035,6432,-768,-1920,12000,-1056,-536,-1340,8375,-737,160,-1000,88,-2500,220,88,4,1,0,-12.84,121
"434",434,1,6,-5,0.168,14.19,8.94,2,-1,-40,-100,-22,-94,0.011,-15,-33,-0.004,19,59,-0.043,-127,-76,65,38,-20,-13,126.8586,330,-418,2794,1672,-1430,-836,440,286,0.645,1140,1905,-975,195,-7493,-4484,3835,2242,-1180,-767,9652,-8255,-4826,2540,1651,-4940,-2888,1520,988,2470,-1300,-845,-760,-494,-845,8,1,1,53.64,169
"435",435,-2,-2,0,-0.02,4.24,5.32,-1,1,-299,-214,-81,-246,0.016,-30,-124,0.024,-107,-174,0.024,-125,34,-9,9,-10,-5,22.5568,2430,8667,10125,-2754,729,-729,810,405,-0.72,-1020,3750,270,150,21750,-5916,1566,-1566,1740,870,-4250,1125,-1125,1250,625,-306,306,-340,-170,-81,90,45,-90,-45,45,-8,0,4,-10.64,25
"436",436,-1,0,-1,0.023,10.1,7.01,-5,3,-67,-157,-4,-45,0.00900000000000001,-31,-75,-0.00700000000000001,-28,-16,-0.022,151,89,-62,46,1,-7,70.801,124,112,-604,-356,248,-184,-4,28,0.682,-2759,-4681,1922,217,-2416,-1424,992,-736,-16,112,13439,-9362,6946,151,-1057,-5518,4094,89,-623,-2852,-62,434,46,-322,434,15,1,1,0,49
"437",437,4,1,3,-0.0529999999999999,-1.51,3.39,-3,3,405,543,188,456,-0.00800000000000001,57,203,-0.022,-28,-4,-0.036,345,32,47,127,116,-7,-5.1189,10716,-5264,64860,6016,8836,23876,21808,-1316,-2.052,1824,19665,2679,-399,-1380,-128,-188,-508,-464,28,11040,16215,43815,40020,-2415,1504,4064,3712,-224,5969,5452,-329,14732,-889,-329,-8,0,16,3.39,49
"438",438,-1,-1,0,-0.00900000000000001,8.45,12.69,-1,1,137,307,81,117,0.016,26,25,0.025,-51,-82,0.00900000000000001,-122,19,3,-4,-53,-13,107.2305,2106,-4131,-9882,1539,243,-324,-4293,-1053,0.234,494,-3172,78,-338,10004,-1558,-246,328,4346,1066,-2318,-366,488,6466,1586,57,-76,-1007,-247,-12,-159,-39,212,52,-39,2,1,1,-12.69,169
"439",439,8,10,-2,0.121,15.88,9.3,1,1,794,486,273,537,0.016,73,115,0.05,175,201,0.0519999999999999,579,136,13,108,116,-13,147.684,19929,47775,158067,37128,3549,29484,31668,-3549,3.79599999999999,9928,42267,949,-949,116379,27336,2613,21708,23316,-2613,78744,7527,62532,67164,-7527,1768,14688,15776,-1768,1404,1508,-169,12528,-1404,-169,8,1,64,93,169
"440",440,8,12,-4,0.176,20.87,14.99,-1,-1,143,-68,42,168,-0.02,-25,-10,-0.031,84,121,0,204,23,-16,1,59,-13,312.8413,-1050,3528,8568,966,-672,42,2478,-546,0,-575,-5100,400,325,24684,2783,-1936,121,7139,-1573,4692,-3264,204,12036,-2652,-368,23,1357,-299,-16,-944,208,59,-13,208,34,1,64,179.88,169
"441",441,-1,-2,1,-0.0429999999999999,-0.389999999999999,3.21,2,0,-255,-157,-76,-106,-0.016,-119,-325,0.003,16,38,-0.018,-48,-98,-71,-67,-50,-3,-1.2519,9044,-1216,3648,7448,5396,5092,3800,228,2.142,11662,5712,8449,357,-1824,-3724,-2698,-2546,-1900,-114,4704,3408,3216,2400,144,6958,6566,4900,294,4757,3550,213,3350,201,213,-6,0,1,-6.42,9
"442",442,-1,9,-10,0.289,22.5,13.28,2,-4,258,-48,22,157,-0.024,71,125,0.038,143,120,0.087,84,-99,2,36,-140,-15,298.8,1562,3146,1848,-2178,44,792,-3080,-330,6.177,-7029,5964,142,-1065,10080,-11880,240,4320,-16800,-1800,-8316,168,3024,-11760,-1260,-198,-3564,13860,1485,72,-280,-30,-5040,-540,-30,13,1,1,119.52,225
"443",443,1,3,-2,0.0690000000000001,10.32,4.17,2,0,399,236,129,373,-0.027,-12,23,-0.036,153,186,0.027,152,-23,108,23,65,-7,43.0344,-1548,19737,19608,-2967,13932,2967,8385,-903,-0.324,276,-1824,-1296,84,28272,-4278,20088,4278,12090,-1302,-3496,16416,3496,9880,-1064,-2484,-529,-1495,161,2484,7020,-756,1495,-161,-756,14,1,1,12.51,49
"444",444,0,0,0,0,5.58,3.92,-1,-1,340,229,128,161,0.033,154,419,0.015,-70,-140,0.0589999999999999,-158,172,-12,-12,-186,-5,21.8736,19712,-8960,-20224,22016,-1536,-1536,-23808,-640,9.08599999999998,26488,-24332,-1848,-770,22120,-24080,1680,1680,26040,700,-27176,1896,1896,29388,790,-2064,-2064,-31992,-860,144,2232,60,2232,60,60,18,1,0,0,25
"445",445,5,8,-3,0.143,4.67,-1.39,5,-3,389,152,147,213,0.032,63,128,0.031,32,63,-0.022,212,149,-23,-17,46,-3,-6.4913,9261,4704,31164,21903,-3381,-2499,6762,-441,-1.386,9387,13356,-1449,-189,13356,9387,-1449,-1071,2898,-189,31588,-4876,-3604,9752,-636,-3427,-2533,6854,-447,391,-1058,69,-782,51,69,20,1,25,-11.12,9
"446",446,-3,-2,-1,-0.002,1.59,1.87,2,0,41,93,3,-64,0.018,-47,-109,-0.016,82,42,0.072,37,46,-80,14,-48,-1,2.9733,-141,246,111,138,-240,42,-144,-3,-3.384,-2162,-1739,3760,47,1554,1932,-3360,588,-2016,-42,1702,-2960,518,-1776,-37,-3680,644,-2208,-46,-1120,3840,80,-672,-14,80,-9,0,9,-3.74,1
"447",447,-1,0,-1,0.018,4.05,2.05,1,-1,16,-46,0,-95,0.025,-12,57,-0.063,28,54,-0.015,100,31,-43,129,59,-3,8.3025,0,0,0,0,0,0,0,0,0.18,-372,-1200,516,36,5400,1674,-2322,6966,3186,-162,3100,-4300,12900,5900,-300,-1333,3999,1829,-93,-5547,-2537,129,7611,-387,129,9,1,1,0,9
"448",448,0,0,0,0,-2.8,0.56,0,0,59,119,123,197,0.015,-13,-72,0.025,-174,-159,-0.081,127,34,14,-2,26,-1,-1.568,-1599,-21402,15621,4182,1722,-246,3198,-123,1.053,-442,-1651,-182,13,-20193,-5406,-2226,318,-4134,159,4318,1778,-254,3302,-127,476,-68,884,-34,-28,364,-14,-52,2,-14,-2,0,0,0,1
"449",449,3,5,-2,0.0790000000000001,6.51,3.5,-2,0,144,10,-8,-36,0.004,86,193,0.022,74,65,0.038,-140,-46,-57,-50,-65,-7,22.785,-688,-592,1120,368,456,400,520,56,3.268,-3956,-12040,-4902,-602,-9100,-2990,-3705,-3250,-4225,-455,6440,7980,7000,9100,980,2622,2300,2990,322,2850,3705,399,3250,350,399,11,1,9,17.5,49
"450",450,-2,-6,4,-0.133,9.35,10.29,-8,6,-303,-251,-79,-217,0.012,-46,-89,-0.02,-99,-99,-0.039,0,-42,-27,51,115,-5,96.2115,3634,7821,0,3318,2133,-4029,-9085,395,1.794,1932,0,1242,230,0,4158,2673,-5049,-11385,495,0,0,0,0,0,1134,-2142,-4830,210,-1377,-3105,135,5865,-255,135,-2,0,4,-61.74,25
"451",451,5,14,-9,0.275,36.1,17.28,1,-3,703,-68,247,31,0.109,103,107,0.096,106,177,-0.021,254,145,-23,87,28,-15,623.808,25441,26182,62738,35815,-5681,21489,6916,-3705,-2.163,14935,26162,-2369,-1545,44958,25665,-4071,15399,4956,-2655,36830,-5842,22098,7112,-3810,-3335,12615,4060,-2175,-2001,-644,345,2436,-1305,345,43,1,25,241.92,225
"452",452,4,7,-3,0.114,20.01,14.19,-1,-1,165,18,75,-10,0.043,-53,-176,0.015,68,80,0.019,22,32,-9,84,-31,-13,283.9419,-3975,5100,1650,2400,-675,6300,-2325,-975,-1.007,-1696,-1166,477,689,1760,2560,-720,6720,-2480,-1040,704,-198,1848,-682,-286,-288,2688,-992,-416,-756,279,117,-2604,-1092,117,25,1,16,99.33,169
"453",453,-2,-2,0,-0.02,4.63,4.58,-1,3,-422,-407,-150,-177,-0.037,22,78,-0.014,-144,-159,-0.041,-189,-68,-6,17,-77,-3,21.2054,-3300,21600,28350,10200,900,-2550,11550,450,-0.902,-1496,-4158,-132,-66,30051,10812,954,-2703,12243,477,12852,1134,-3213,14553,567,408,-1156,5236,204,-102,462,18,-1309,-51,18,13,1,4,-9.16,9
"454",454,3,10,-7,0.211,26.03,11.56,1,-3,324,-265,217,116,0.076,-43,-215,0.053,-67,-13,-0.071,165,184,126,191,66,-15,300.9068,-9331,-14539,35805,39928,27342,41447,14322,-3255,3.053,-7912,-7095,-5418,645,-2145,-2392,-1638,-2483,-858,195,30360,20790,31515,10890,-2475,23184,35144,12144,-2760,24066,8316,-1890,12606,-2865,-1890,40,1,9,115.6,225
"455",455,1,0,1,-0.02,0.990000000000002,2.25,0,0,104,170,115,41,0.052,-17,-54,0.003,-109,-71,-0.0780000000000001,39,118,-66,54,43,-1,2.2275,-1955,-12535,4485,13570,-7590,6210,4945,-115,1.326,-2006,-663,1122,17,-2769,-8378,4686,-3834,-3053,71,4602,-2574,2106,1677,-39,-7788,6372,5074,-118,-3564,-2838,66,2322,-54,66,9,1,1,0,1
"456",456,3,6,-3,0.125,4.92,-1.37,2,-4,277,63,67,208,-0.014,76,252,-0.016,67,102,-0.004,56,35,107,-40,-25,-5,-6.7404,5092,4489,3752,2345,7169,-2680,-1675,-335,-0.304,2660,4256,8132,-380,5712,3570,10914,-4080,-2550,-510,1960,5992,-2240,-1400,-280,3745,-1400,-875,-175,-4280,-2675,-535,1000,200,-535,20,1,9,-8.22,25
"457",457,-1,1,-2,0.0489999999999999,-2.16,-1.5,2,-2,167,206,45,233,-0.033,35,165,-0.041,42,112,-0.0489999999999999,34,-85,115,-47,-25,-1,3.24,1575,1890,1530,-3825,5175,-2115,-1125,-45,-1.715,-2975,1190,4025,-35,3808,-9520,12880,-5264,-2800,-112,-2890,3910,-1598,-850,-34,-9775,3995,2125,85,-5405,-2875,-115,1175,47,-115,-12,0,1,-1.5,1
"458",458,0,-4,4,-0.118,10.75,9.85,-7,5,-80,-41,2,-125,0.029,-132,-379,0.016,48,124,-0.0580000000000001,-53,28,-19,142,49,-9,105.8875,-264,96,-106,56,-38,284,98,-18,7.65600000000001,-3696,6996,2508,1188,-6572,3472,-2356,17608,6076,-1116,-1484,1007,-7526,-2597,477,-532,3976,1372,-252,-2698,-931,171,6958,-1278,171,12,1,0,-39.4,81
"459",459,3,10,-7,0.216,22.83,10.5,6,-8,301,-87,98,219,-0.001,52,182,-0.019,53,132,-0.036,112,107,120,66,-44,-13,239.715,5096,5194,10976,10486,11760,6468,-4312,-1274,-1.872,5564,5824,6240,-676,14784,14124,15840,8712,-5808,-1716,11984,13440,7392,-4928,-1456,12840,7062,-4708,-1391,7920,-5280,-1560,-2904,-858,-1560,15,1,9,105,169
"460",460,1,7,-6,0.186,-1.99,-5.15,1,-3,412,285,209,299,0.039,48,16,0.068,-54,-74,0.002,220,128,-27,65,34,-3,10.2485,10032,-11286,45980,26752,-5643,13585,7106,-627,0.096,6144,10560,-1296,-144,-16280,-9472,1998,-4810,-2516,222,28160,-5940,14300,7480,-660,-3456,8320,4352,-384,-1755,-918,81,2210,-195,81,6,1,1,-36.05,9
"461",461,5,10,-5,0.18,30.6,14.58,-2,-2,1107,519,405,688,0.037,-49,-158,0.01,346,465,0.0319999999999999,621,219,46,89,78,-15,446.148,-19845,140130,251505,88695,18630,36045,31590,-6075,-1.56799999999999,-10731,-30429,-2254,735,288765,101835,21390,41385,36270,-6975,135999,28566,55269,48438,-9315,10074,19491,17082,-3285,4094,3588,-690,6942,-1335,-690,20,1,25,145.8,225
"462",462,-2,-5,3,-0.103,7.77,6.17,-3,5,47,88,-54,-42,-0.018,9,-38,0.03,146,88,0.119,-50,-15,3,-16,-31,-5,47.9409,-486,-7884,2700,810,-162,864,1674,270,1.071,-135,-450,27,-45,-4400,-1320,264,-1408,-2728,-440,750,-150,800,1550,250,-45,240,465,75,-48,-93,-15,496,80,-15,-10,0,4,-30.85,25
"463",463,5,13,-8,0.25,25.17,15.51,-1,-1,561,170,239,356,0.038,25,106,-0.02,58,109,-0.027,210,159,61,103,-38,-15,390.3867,5975,13862,50190,38001,14579,24617,-9082,-3585,-0.675,3975,5250,1525,-375,22890,17331,6649,11227,-4142,-1635,33390,12810,21630,-7980,-3150,9699,16377,-6042,-2385,6283,-2318,-915,-3914,-1545,-915,21,1,25,201.63,225
"464",464,4,11,-7,0.239,11.14,3.52,1,1,845,555,243,566,-0.00800000000000001,181,389,0.057,178,200,0.052,275,92,67,-61,27,-11,39.2128,43983,43254,66825,22356,16281,-14823,6561,-2673,9.412,16652,49775,12127,-1991,55000,18400,13400,-12200,5400,-2200,25300,18425,-16775,7425,-3025,6164,-5612,2484,-1012,-4087,1809,-737,-1647,671,-737,2,1,16,38.72,121
"465",465,4,6,-2,0.0870000000000001,15.05,8.84,-1,1,512,273,195,285,0.034,49,80,0.035,73,171,-0.071,260,245,-2,83,41,-11,133.042,9555,14235,50700,47775,-390,16185,7995,-2145,-3.479,12005,12740,-98,-539,44460,41895,-342,14193,7011,-1881,63700,-520,21580,10660,-2860,-490,20335,10045,-2695,-166,-82,22,3403,-913,22,21,1,16,53.04,121
"466",466,2,4,-2,0.0710000000000001,10.27,10.59,2,2,95,69,24,7,0.013,33,68,0.015,14,61,-0.041,-15,-49,-87,-7,-17,-9,108.7593,792,336,-360,-1176,-2088,-168,-408,-216,-1.353,-1617,-495,-2871,-297,-915,-2989,-5307,-427,-1037,-549,735,1305,105,255,135,4263,343,833,441,609,1479,783,119,63,783,10,1,4,42.36,81
"467",467,3,0,3,-0.0639999999999999,12.73,11.22,-2,4,256,219,75,195,-0.00600000000000001,54,168,-0.01,52,132,-0.0489999999999999,83,92,99,17,51,-7,142.8306,4050,3900,6225,6900,7425,1275,3825,-525,-2.64599999999999,4968,4482,5346,-378,10956,12144,13068,2244,6732,-924,7636,8217,1411,4233,-581,9108,1564,4692,-644,1683,5049,-693,867,-119,-693,35,1,9,0,49
"468",468,1,0,1,-0.021,10.56,6.11,1,-1,208,66,57,274,-0.034,109,279,0.001,-15,-125,0.079,106,7,20,103,-139,-9,64.5216,6213,-855,6042,399,1140,5871,-7923,-513,8.611,763,11554,2180,-981,-13250,-875,-2500,-12875,17375,1125,742,2120,10918,-14734,-954,140,721,-973,-63,2060,-2780,-180,-14317,-927,-180,12,1,1,0,81
"469",469,3,5,-2,0.0840000000000001,17.11,6.77,0,2,273,-79,72,111,0.01,27,-10,0.06,102,95,0.0519999999999999,185,52,-39,19,-18,-11,115.8347,1944,7344,13320,3744,-2808,1368,-1296,-792,1.404,1404,4995,-1053,-297,17575,4940,-3705,1805,-1710,-1045,9620,-7215,3515,-3330,-2035,-2028,988,-936,-572,-741,702,429,-342,-209,429,16,1,9,33.85,121
"470",470,4,10,-6,0.208,24.93,13.17,4,-2,237,-133,151,343,-0.00900000000000001,60,182,-0.019,-125,-177,-0.01,108,70,51,38,-75,-13,328.3281,9060,-18875,16308,10570,7701,5738,-11325,-1963,-0.6,4200,6480,3060,-780,-19116,-12390,-9027,-6726,13275,2301,7560,5508,4104,-8100,-1404,3570,2660,-5250,-910,1938,-3825,-663,-2850,-494,-663,28,1,16,131.7,169
"471",471,5,10,-5,0.186,-4.19,-3.99,4,-4,257,248,44,293,-0.045,88,262,-0.012,81,81,0.0349999999999999,127,57,-27,83,-93,-3,16.7181,3872,3564,5588,2508,-1188,3652,-4092,-132,3.07999999999999,5016,11176,-2376,-264,10287,4617,-2187,6723,-7533,-243,7239,-3429,10541,-11811,-381,-1539,4731,-5301,-171,-2241,2511,81,-7719,-249,81,4,1,25,-39.9,9
"472",472,2,4,-2,0.0760000000000001,0.00999999999999979,-0.88,4,-2,169,102,65,78,0.015,-5,-90,0.05,44,49,0.012,44,-49,-34,-73,8,-7,-0.00879999999999981,-325,2860,2860,-3185,-2210,-4745,520,-455,-0.06,245,-220,170,35,2156,-2401,-1666,-3577,392,-343,-2156,-1496,-3212,352,-308,1666,3577,-392,343,2482,-272,238,-584,511,238,17,1,4,-3.52,49
"473",473,2,-1,3,-0.072,7.15,7.15,-1,1,347,320,80,185,-0.002,146,378,0.00800000000000001,41,32,0.029,56,116,-35,-49,-22,-5,51.1225,11680,3280,4480,9280,-2800,-3920,-1760,-400,4.234,16936,8176,-5110,-730,1792,3712,-1120,-1568,-704,-160,6496,-1960,-2744,-1232,-280,-4060,-5684,-2552,-580,1715,770,175,1078,245,175,33,1,4,-7.15,25
"474",474,-1,-2,1,-0.0409999999999999,14.49,12.71,-2,2,222,120,14,98,-0.016,30,99,-0.01,164,205,0.02,136,-24,-42,21,0,-9,184.1679,420,2296,1904,-336,-588,294,0,-126,0.6,-720,4080,-1260,-270,27880,-4920,-8610,4305,0,-1845,-3264,-5712,2856,0,-1224,1008,-504,0,216,-882,0,378,0,-189,378,27,1,1,-25.42,81
"475",475,-1,-1,0,-0.01,0.17,1.17,1,-1,183,184,96,64,0.036,-78,-242,0.014,69,67,0.036,-100,-39,80,60,-120,-7,0.1989,-7488,6624,-9600,-3744,7680,5760,-11520,-672,-2.808,3042,7800,-6240,546,-6700,-2613,5360,4020,-8040,-469,3900,-8000,-6000,12000,700,-3120,-2340,4680,273,4800,-9600,-560,-7200,-420,-560,2,1,1,-1.17,49
"476",476,0,3,-3,0.089,8.79,7.04,1,3,-167,-182,2,10,-0.001,-8,-38,0.011,-163,-234,0.00600000000000001,-161,13,14,1,-158,-11,61.8816,-16,-326,-322,26,28,2,-316,-22,-0.0480000000000001,-104,1288,-112,88,37674,-3042,-3276,-234,36972,2574,-2093,-2254,-161,25438,1771,182,13,-2054,-143,14,-2212,-154,-158,-11,-154,16,1,0,21.12,121
"477",477,3,4,-1,0.0449999999999999,16.21,11.75,-1,1,-88,-219,-45,139,-0.062,18,119,-0.05,-16,1,-0.019,85,-101,-50,21,-130,-13,190.4675,-810,720,-3825,4545,2250,-945,5850,585,-0.342,-1818,1530,-900,-234,85,-101,-50,21,-130,-13,-8585,-4250,1785,-11050,-1105,5050,-2121,13130,1313,-1050,6500,650,-2730,-273,650,13,1,9,47,169
"478",478,-1,2,-3,0.0770000000000001,-4.38,-6.13,6,-6,32,-3,-3,25,-0.00700000000000001,74,176,0.014,-36,-83,0.022,-51,101,49,-10,34,-1,26.8494,-222,108,153,-303,-147,30,-102,3,1.628,7474,-3774,3626,-74,4233,-8383,-4067,830,-2822,83,-5151,-2499,510,-1734,51,4949,-1010,3434,-101,-490,1666,-49,-340,10,-49,-5,0,1,-12.26,1
"479",479,1,4,-3,0.094,5.24,3.85,0,0,-139,-173,-64,-45,-0.025,99,232,0.018,-110,-186,0.033,-205,-64,20,-17,-105,-3,20.174,-6336,7040,13120,4096,-1280,1088,6720,192,3.267,-6336,-20295,1980,-297,38130,11904,-3720,3162,19530,558,13120,-4100,3485,21525,615,-1280,1088,6720,192,-340,-2100,-60,1785,51,-60,20,1,1,15.4,9
