"","X","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","SeedDiff","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","TOVxSD","ScD","winner","GamesSq","WinsxSOS","SeedDiffSq"
"267",267,4,2,2,-0.027,20.58,16.9,2,2,679,532,348,614,0.037,109,320,-0.005,-126,-189,-0.002,156,154,41,-6,1,-13,347.802,37932,-43848,54288,53592,14268,-2088,348,-4524,-0.218,16786,17004,4469,-1417,-29484,-29106,-7749,1134,-189,2457,24024,6396,-936,156,-2028,6314,-924,154,-2002,-246,41,-533,-6,78,-533,4,1,16,33.8,169
"268",268,6,7,-1,0.094,18.7,11.34,-1,1,940,642,336,608,0.024,63,101,0.057,205,261,0.0369999999999999,460,281,70,84,94,-11,212.058,21168,68880,154560,94416,23520,28224,31584,-3696,2.33099999999999,17703,28980,4410,-693,120060,73341,18270,21924,24534,-2871,129260,32200,38640,43240,-5060,19670,23604,26414,-3091,5880,6580,-770,7896,-924,-770,3,1,36,79.38,121
"269",269,2,6,-4,0.138,33.98,23.15,-2,0,418,59,201,244,0.048,-19,-53,-0.004,35,-10,0.0609999999999999,229,169,-50,40,-59,-15,786.637,-3819,7035,46029,33969,-10050,8040,-11859,-3015,-1.159,-3211,-4351,950,285,-2290,-1690,500,-400,590,150,38701,-11450,9160,-13511,-3435,-8450,6760,-9971,-2535,-2000,2950,750,-2360,-600,750,34,1,4,138.9,225
"270",270,2,5,-3,0.104,14.8,13.29,-1,-1,-53,-113,-47,62,-0.039,65,240,-0.041,-24,7,-0.0349999999999999,-12,19,26,-68,-57,-11,196.692,-3055,1128,564,-893,-1222,3196,2679,517,-2.27499999999999,1235,-780,1690,-715,-84,133,182,-476,-399,-77,-228,-312,816,684,132,494,-1292,-1083,-209,-1768,-1482,-286,3876,748,-286,2,1,4,66.45,121
"271",271,6,10,-4,0.195,22.48,13.65,2,0,1049,772,405,769,0.03,-29,-100,0.012,268,431,-0.0569999999999999,671,193,64,123,178,-13,306.852,-11745,108540,271755,78165,25920,49815,72090,-5265,1.653,-5597,-19459,-1856,377,289201,83183,27584,53013,76718,-5603,129503,42944,82533,119438,-8723,12352,23739,34354,-2509,7872,11392,-832,21894,-1599,-832,22,1,36,136.5,169
"272",272,1,-1,2,-0.0569999999999999,2.21,1.09,-1,1,208,167,108,110,0.035,41,-17,0.081,-49,-54,-0.015,89,129,-9,63,19,-5,2.4089,4428,-5292,9612,13932,-972,6804,2052,-540,-0.615,5289,3649,-369,-205,-4806,-6966,486,-3402,-1026,270,11481,-801,5607,1691,-445,-1161,8127,2451,-645,-567,-171,45,1197,-315,45,12,1,1,-1.09,25
"273",273,-3,-8,5,-0.179,5.71,9.67,-2,2,-198,14,-77,-110,-0.014,-31,-70,-0.00900000000000001,-13,-46,0.0259999999999999,-87,-38,-59,28,-15,-7,55.2157,2387,1001,6699,2926,4543,-2156,1155,539,-0.805999999999997,1178,2697,1829,217,4002,1748,2714,-1288,690,322,3306,5133,-2436,1305,609,2242,-1064,570,266,-1652,885,413,-420,-196,413,-9,0,9,-77.36,49
"274",274,-1,4,-5,0.141,8.59,2.98,2,-4,-25,-183,-2,52,-0.014,29,42,0.022,-50,-104,0.035,115,-77,44,-9,18,-9,25.5982,-58,100,-230,154,-88,18,-36,18,1.015,-2233,3335,1276,-261,-11960,8008,-4576,936,-1872,936,-8855,5060,-1035,2070,-1035,-3388,693,-1386,693,-396,792,-396,-162,81,-396,-2,0,1,11.92,81
"275",275,2,0,2,-0.041,-1.32,5.1,-4,4,176,424,29,153,-0.02,29,135,-0.033,89,75,0.045,-60,-25,-7,-55,-60,-3,-6.732,841,2581,-1740,-725,-203,-1595,-1740,-87,1.305,-725,-1740,-203,-87,-4500,-1875,-525,-4125,-4500,-225,1500,420,3300,3600,180,175,1375,1500,75,385,420,21,3300,165,21,10,1,4,0,9
"276",276,3,12,-9,0.299,30.78,15.71,6,-4,547,-4,180,124,0.067,68,107,0.046,119,185,-0.026,195,154,-84,-10,-37,-15,483.5538,12240,21420,35100,27720,-15120,-1800,-6660,-2700,-1.768,10472,13260,-5712,-1020,36075,28490,-15540,-1850,-6845,-2775,30030,-16380,-1950,-7215,-2925,-12936,-1540,-5698,-2310,840,3108,1260,370,150,1260,29,1,9,188.52,225
